,loss
0,0.0115918545
1,0.001411031
2,0.0010763817
3,0.0010145331
4,0.0009650032
5,0.0009257349
6,0.0008960344
7,0.00087191456
8,0.0008476089
9,0.0008218763
10,0.0007979451
11,0.00077740266
12,0.00075961195
13,0.00074377615
14,0.00072925026
15,0.0007152884
16,0.0007011934
17,0.00068589585
18,0.0006695135
19,0.00065375236
20,0.0006409825
21,0.00063133624
22,0.00062393013
23,0.00061789143
24,0.00061276404
25,0.000608158
26,0.00060369464
27,0.00059939903
28,0.00059513503
29,0.0005908422
30,0.0005864827
31,0.00058214145
32,0.0005779406
33,0.0005735296
34,0.00056922185
35,0.00056374853
36,0.000555767
37,0.0005464919
38,0.0005392064
39,0.00053302315
40,0.00052727055
41,0.00052224216
42,0.00051730877
43,0.0005136902
44,0.00050957256
45,0.00050582894
46,0.0005030811
47,0.00049971795
48,0.0004964439
49,0.0004929037
50,0.0004902672
51,0.00048633653
52,0.00048318657
53,0.00048060366
54,0.00047816703
55,0.0004749104
56,0.00047137958
57,0.00046839193
58,0.00046484324
59,0.00046278493
60,0.0004594037
61,0.000456369
62,0.00045363375
63,0.00045012086
64,0.00044678696
65,0.00044361097
66,0.00044035053
67,0.00043558306
68,0.00043323232
69,0.0004297481
70,0.00042639955
71,0.00042252088
72,0.00041851378
73,0.00041399288
74,0.0004102599
75,0.00040635298
76,0.00040287626
77,0.00039983654
78,0.00039698742
79,0.0003944824
80,0.0003921205
81,0.00039008513
82,0.00038797583
83,0.00038583734
84,0.00038362204
85,0.0003822961
86,0.0003792545
87,0.00037966078
88,0.0003762099
89,0.00037673058
90,0.0003735005
91,0.00037376725
92,0.0003704945
93,0.00037135222
94,0.0003682064
95,0.00036826584
96,0.00036534548
97,0.00036498546
98,0.00036270998
99,0.00036098657
100,0.00035929558
101,0.0003581153
102,0.00035652696
103,0.00035486915
104,0.00035295382
105,0.00035217876
106,0.0003504871
107,0.00034784185
108,0.0003460703
109,0.00034482448
110,0.00034105533
111,0.0003400043
112,0.0003418678
113,0.00034248398
114,0.00033691217
115,0.0003288013
116,0.0003438219
117,0.0003413119
118,0.00032810608
119,0.00032453614
120,0.00032277894
121,0.00032079846
122,0.0003197146
123,0.00032625144
124,0.0003232747
125,0.00031104742
126,0.00036965797
127,0.00057170127
128,0.00040316084
129,0.00035970673
130,0.00034537952
131,0.00032813038
132,0.00032061702
133,0.00031501154
134,0.00031155706
135,0.00030989354
136,0.0003072895
137,0.00030867284
138,0.00031286484
139,0.00031461514
140,0.00030889394
141,0.00041076133
142,0.0005570773
143,0.0003971616
144,0.00035688997
145,0.00033701886
146,0.00031344706
147,0.00030935358
148,0.0003037199
149,0.0003031885
150,0.00030199852
151,0.00030257096
152,0.00030674395
153,0.00030390304
154,0.00030322175
155,0.00030237535
156,0.00030233385
157,0.00030552363
158,0.00030320967
159,0.00030130654
160,0.00029579824
161,0.00029900193
162,0.00038124542
163,0.00043827778
164,0.0005024122
165,0.00039222834
166,0.00033358624
167,0.00031052032
168,0.00030208423
169,0.00029742505
170,0.00029505935
171,0.00029437407
172,0.00029474148
173,0.00029681393
174,0.0003015057
175,0.0002990437
176,0.00029603165
177,0.00029449788
178,0.00029298547
179,0.00029257606
180,0.00029165525
181,0.00029140286
182,0.00029860684
183,0.0003796034
184,0.0004161945
185,0.00030405849
186,0.00029878577
187,0.00029463257
188,0.00029352857
189,0.00029050416
190,0.0002878715
191,0.00028889164
192,0.00029237565
193,0.00028831844
194,0.00029873647
195,0.00029716696
196,0.00029586893
197,0.00029452288
198,0.0002854278
199,0.00028679785
200,0.00028891306
201,0.0002897421
202,0.00029630552
203,0.0002861814
204,0.00028945605
205,0.00029813097
206,0.00029705896
207,0.00029905312
208,0.00029117658
209,0.00028410213
210,0.0002885028
211,0.00028973218
212,0.00028351898
213,0.00028218835
214,0.0002831116
215,0.00028362128
216,0.00029442614
217,0.00028608483
218,0.00028278757
219,0.00028110054
220,0.00028425382
221,0.0003177132
222,0.0006028222
223,0.0004535116
224,0.0004016689
225,0.000331601
226,0.00048163364
227,0.0003658463
228,0.00030058788
229,0.00028542144
230,0.00027897154
231,0.0002988599
232,0.00053713843
233,0.00036585334
234,0.0003027026
235,0.00029219087
236,0.0002814183
237,0.00028318315
238,0.00028170296
239,0.00028437976
240,0.00027939316
241,0.0002775554
242,0.00027926287
243,0.00028188693
244,0.00028314893
245,0.0002792613
246,0.00027994323
247,0.0002778205
248,0.00027772665
249,0.00028631277
250,0.00028546632
251,0.0006879793
252,0.0011383686
253,0.0006577338
254,0.0006176609
255,0.0005988488
256,0.0005824155
257,0.00056361634
258,0.00055026816
259,0.00054086547
260,0.0005296968
261,0.00052021915
262,0.000508664
263,0.00050101813
264,0.0004942711
265,0.00048948854
266,0.00047589507
267,0.00046655396
268,0.00046412516
269,0.00044901145
270,0.00044108578
271,0.0004216647
272,0.0004061175
273,0.0003840402
274,0.00039529343
275,0.000366772
276,0.00035864406
277,0.0003527276
278,0.0003489424
279,0.00034569437
280,0.00034446953
281,0.00034315322
282,0.0003411829
283,0.00033890177
284,0.00033624022
285,0.00033314555
286,0.00033003394
